id,chance,name,description,bonusXp,professionId,duration,iconURL
Initiate1,0.5,"Notebook of Infinite Recall","Boosts memory for exams!",100,2,1,
Initiate2,0.5,"Pen of Confidence","Feel confident to speak up in class!",2,2,604800,
Initiate3,0.5,"Annotated Tome of Study","Homework becomes a breeze!",2,1,604800,
Initiate4,0.75,"Medal of Scholarly Growth","Recognizes the scholar’s progress!",100,1,1,
Collegiate1,0.5,"Notebook of Infinite Recall","Improves memory for exams!",100,2,1,
Collegiate2,0.5,"Annotated Tome of Clarity","Writing becomes a breeze!",2,2,604800,
Collegiate3,0.5,"Coffee Chalice of Wakefulness","Late-night study sessions give genius ideas!",2,1,604800,
Collegiate4,0.75,"Degree Scroll of Triumph","Ensures lasting academic renown!",100,1,1,
Pedagogue1,0.5,"Teacher's Tome of Tactics","Improves retention of pedagogical strategies for in-class application.",100,2,1,
Pedagogue2,0.5,"Communicator's Compendium","Elevates the precision and conciseness of professional correspondence and feedback.",2,2,604800,
Pedagogue3,0.5,"Chalice of Classroom Command","Bestows a commanding presence and the energy to manage a full day of lessons.",2,1,604800,
Pedagogue4,0.75,"Guiding Scroll of Wisdom","Confers an enduring reputation for excellence in instructional practice and leadership.",100,1,1,
Masters1,0.5,"Tome of Infinite Footnotes","Citation tasks are a breeze!",100,2,1,
Masters2,0.5,"Philosopher’s Flask","The next late-night writing session is flawless!",2,2,604800,
Masters3,0.5,"Quill of Perfect Clarity","Future thesis revisions are twice as efficient!",2,1,604800,
Masters4,0.75,"Hood of the Master Scholar","Grants permanent academic prestige!",100,1,1,
Doctoral1,0.5,"Annotated Tome of Wisdom","Literature reviews are insightful!",100,2,1,
Doctoral2,0.5,"Philosopher’s Quill","Writing becomes a breeze!",2,2,604800,
Doctoral3,0.5,"Academic Amulet","Defense presentation is a breeze!",2,1,604800,
Doctoral4,0.75,"Doctoral Robes of Power","Grants permanent academic prestige!",100,1,1,
Sage1,0.5,"Philosopher’s Patronage","All future grants amaze the reviewers!",100,2,1,
Sage2,0.5,"Ivory Quill of the Ages","Publishing is a breeze!",2,2,604800,
Sage3,0.5,"Chair’s Scepter","Committee meetings now take 50% less energy!",2,1,604800,
Sage4,0.75,"Sigil of Eternal Knowledge","Ensures lasting academic legacy!",100,1,1,
healerRnd,0.3,"Ever-Full Flask ðŸ¥¤","Thy cup shall never run dry! Thou dost remember to hydrate more frequently!",10,3,1,
healerRnd,0.3,"Cozy Cloak of Softness ðŸ§£","Thy sensory needs are met! Thou dost gain comfort & warmth bonuses for deep relaxation.",50,3,1,
healerRnd,0.3,"Windborne Muse ðŸ’¨","Inspiration strikes!",100,3,1,
healerRnd,0.3,"Weighted Blanket of Tranquility ðŸ›","Thine anxieties are eased! Thou shalt fall asleep more swiftly and rest more deeply.",100,3,1,
healerRnd,0.3,"Arcane Spice Rack ðŸŒ¿","Thy meals taste superior!",50,3,1,
healerRnd,0.3,"Enchanted Candle of Focus ðŸ•¯","Boosts concentration & ambiance!",50,3,1,
healerRnd,0.3,"Lavender Satchel of Peace ðŸŒ¸","Repels stress! Thou dost gain a resistance against distractions & sensory overload!",100,3,1,
healerRnd,0.3,"Satchel of Perpetual Order ðŸŽ’","Reduces clutter! Next organizational task takes half the effort.",100,3,1,
healerRnd,0.3,"Starlit Headphones ðŸŽ§","Protects thee from auditory distractions! Focus tasks are less likely to be interrupted!",20,3,1,
healerRnd,0.3,"Cozy Cocoon Socks ðŸ§¦","Feet are warm, mind is at peace! Sitting still during study sessions becomes twice as easy.",20,3,1,
miniquest1,0.5,"Scholarâ€™s Insight","Thou dost instantly make a profound connection to another field of study.",0,,0,
miniquest2,0.5,"Quill of Perfect Recall","Future readings bring greater understanding, as if thou hadst read the text before.",0,,0,
miniquest3,0.5,"Scholarâ€™s Condensed Wisdom","Future summaries come with ease, for thy mind can now grasp the heart of any text.",0,,0,
miniquest4,0.5,"Hourglass of Flow","The next deep focus session shall be effortless, for time itself bends to thy will.",0,,0,
miniquest5,0.5,"Inkflow Rune","The next sentence shall flow from thee as if a river, perfectly formed and without struggle.",0,,0,
miniquest6,0.5,"Momentum Charm","Thou shalt feel a sudden surge of inspiration, giving thee power and focus for thy next writing session.",0,,0,
miniquest7,0.5,"Scroll of Formatting Mastery","Future citation tasks shall be done with great speed and perfect order.",0,,0,
miniquest8,0.5,"Forgotten Stamp Fairy","The next form thou submits shall vanish from thy mind, for it is already approved and filed away.",0,,0,
miniquest9,0.5,"Timetable Tricksterâ€™s Favor","All meetings this week shall align perfectly, leaving thee with a rare abundance of time for all other tasks.",0,,0,
miniquest10,0.5,"Tongue of Golden Speech","Thy next explanation shall be so clear, it could charm a dragon from its hoard.",0,,0,
miniquest11,0.5,"Scholarâ€™s Guide of Engagement","The next class thou plans shall captivate all who listen.",0,,0,
miniquest12,0.5,"Amulet of Enthusiastic Discourse","All in thy next discussion shall be filled with a passion for the topic.",0,,0,
miniquest13,0.5,"Inkflow Rune","The next paragraph shall flow from thee as if a river, perfectly formed and without struggle.",0,,0,
miniquest14,0.5,"Tome of Infinite Footnotes","Future citations shall be found without a trace of struggle.",0,,0,
miniquest15,0.5,"Scholarâ€™s Epiphany","A major insight strikes thee, illuminating thy path forward.",0,,0,
miniquest16,0.5,"Scroll of Perfect Formatting","Thy next document shall be edited with perfect order and speed.",0,,0,
miniquest17,0.5,"Amulet of Presentation Clarity","Thy next slide shall convey its message with a singular, perfect purpose.",0,,0,
miniquest18,0.5,"Golden Tongue Talisman","Thy next spoken answer shall be flawless, a golden truth for all to hear.",0,,0,
miniquest19,0.5,"Scholarâ€™s Oratorical Gift","Thy next Q&A shall be a display of quick wit and profound knowledge.",0,,0,
miniquest20,0.5,"Cloak of Supreme Confidence","Thy next speaking task shall fill thee with a boldness that cannot be denied.",0,,0,
miniquest21,0.5,"Scholarâ€™s Epiphany","A perfect title idea shall emerge, as if delivered to thee by a muse.",0,,0,
miniquest22,0.5,"Scroll of Perfect Clarity","The next abstract thou writes shall be as clear as a mountain spring.",0,,0,
miniquest23,0.5,"Journalâ€™s Favor","Thy next submission shall be looked upon with great favor.",0,,0,
miniquest24,0.5,"Editorâ€™s Blessing","Peer review feedback shall be surprisingly merciful.",0,,0,
miniquest25,0.5,"Grading Lens of Clarity","Thy next grading task shall be completed swiftly, with perfect fairness.",0,,0,
miniquest26,0.5,"Pen of Concise Wisdom","The feedback thou gives next shall be so clear and brief, it will be instantly understood.",0,,0,
miniquest27,0.5,"Scroll of Perfect Rubrics","Thy next grading session shall pass in the blink of an eye.",0,,0,
miniquest28,0.5,"Amulet of Inbox Mastery","Thy future emails shall be answered with half the effort, for thy thoughts are organized and swift.",0,,0,
miniquest29,0.5,"Letter of Perfect Clarity","Thy next email reply shall be a model of perfect communication.",0,,0,
miniquest30,0.5,"Guide of Engaged Learners","Thy next discussion will be filled with an uncommon energy and passion from all.",0,,0,
miniquest31,0.5,"Ledger of Perfect Recall","Thy future attendance tasks will be finished in half the time, for every name and face is now clear to thee.",0,,0,
miniquest32,0.5,"Scroll of Instant Approval","All forms thou submits from this point forward shall be accepted with ease.",0,,0,
miniquest33,0.5,"Clock of Perfect Timing","Thy future scheduling tasks shall be completed in half the time, with no conflict in sight.",0,,0,
